「アメリカ合衆国」,the United States,the Netherlands,China,Singapore,1,the United States,flag-america
「オーストラリア」,Australia,France,UAE,Czech Republic,1,Australia,flag-australia
「イギリス（英国）」,Greece,Mexico,the U.K.,India,3,the U.K.,flag-united-kingdom
「フランス共和国」,Russia,France,Austria,Switzerland,2,France,flag-france
「ドイツ連邦共和国」,Mongolia,Australia,UAE,Germany,4,Germany,flag-germany
「オランダ王国」,Czech Republic,Brazil,the Netherlands,Spain,3,the Netherlands,flag-netherland
「ギリシャ共和国」,Thailand,Turkey,Greece,Egypt,3,Greece,flag-greece
「イタリア共和国」,Germany,France,Mongolia,Italy,4,Italy,flag-italy
「スイス連邦」,Brazil,Australia,Japan,Switzerland,4,Switzerland,flag-switzerland
「チェコ共和国」,Czech Republic,Turkey,Singapore,China,1,Czech Republic,flag-czech-republic
「スペイン王国」,the U.K.,Spain,Japan,Viet Nam,2,Spain,flag-spain
「ロシア」,Russia,the United States,India,Viet Nam,1,Russia,flag-russia
「オーストリア」,Russia,Egypt,Austria,China,3,Austria,flag-austria
「日本」,Thailand,the U.K.,Japan,Spain,3,Japan,flag-japan
「韓国（大韓民国）」,Republic of Korea,Germany,Egypt,Mongolia,1,Republic of Korea,flag-south-korea
「中華人民共和国」,Mexico,France,China,Italy,3,China,flag-china
「シンガポール」,Singapore,the Netherlands,UAE,Brazil,1,Singapore,flag-singapore
「インド」,Mexico,the United States,Switzerland,India,4,India,flag-india
「ベトナム」,Switzerland,Viet Nam,Japan,Thailand,2,Viet Nam,flag-vietnam
「タイ」,Russia,Thailand,Italy,Singapore,2,Thailand,flag-thailand
「ブラジル」,Germany,Egypt,Brazil,Republic of Korea,3,Brazil,flag-brazil
「メキシコ」,Mexico,the Netherlands,Republic of Korea,Spain,1,Mexico,flag-mexico
「トルコ共和国」,Egypt,the U.K.,Austria,Turkey,4,Turkey,flag-turkey
「エジプト」,India,Egypt,Greece,Czech Republic,2,Egypt,flag-egypt
「アラブ首長国連邦」,Australia,UAE,Greece,Italy,2,UAE,flag-arab
「モンゴル」,Viet Nam,Turkey,Austria,Mongolia,4,Mongolia,flag-mongolia
